RegionName,StateName,date,price
California,CA,X2019.03.31,555975
California,CA,X2020.03.31,578915
California,CA,X2021.03.31,644020
Texas,TX,X2019.03.31,205497
Texas,TX,X2020.03.31,211681
Texas,TX,X2021.03.31,231384
New York,NY,X2019.03.31,319626
New York,NY,X2020.03.31,326839
New York,NY,X2021.03.31,355963
Florida,FL,X2019.03.31,243560
Florida,FL,X2020.03.31,252251
Florida,FL,X2021.03.31,277429
Illinois,IL,X2019.03.31,206908
Illinois,IL,X2020.03.31,209412
Illinois,IL,X2021.03.31,225595
Pennsylvania,PA,X2019.03.31,191518
Pennsylvania,PA,X2020.03.31,199031
Pennsylvania,PA,X2021.03.31,221251
Ohio,OH,X2019.03.31,147367
Ohio,OH,X2020.03.31,155118
Ohio,OH,X2021.03.31,173380
Michigan,MI,X2019.03.31,170882
Michigan,MI,X2020.03.31,179427
Michigan,MI,X2021.03.31,199051
Georgia,GA,X2019.03.31,200185
Georgia,GA,X2020.03.31,209846
Georgia,GA,X2021.03.31,232144
North Carolina,NC,X2019.03.31,200767
North Carolina,NC,X2020.03.31,211094
North Carolina,NC,X2021.03.31,234934
New Jersey,NJ,X2019.03.31,337440
New Jersey,NJ,X2020.03.31,344617
New Jersey,NJ,X2021.03.31,387105
Virginia,VA,X2019.03.31,279770
Virginia,VA,X2020.03.31,289773
Virginia,VA,X2021.03.31,315924
Washington,WA,X2019.03.31,403380
Washington,WA,X2020.03.31,429556
Washington,WA,X2021.03.31,488114
Massachusetts,MA,X2019.03.31,424987
Massachusetts,MA,X2020.03.31,438231
Massachusetts,MA,X2021.03.31,490712
Indiana,IN,X2019.03.31,151940
Indiana,IN,X2020.03.31,160188
Indiana,IN,X2021.03.31,177309
Arizona,AZ,X2019.03.31,256987
Arizona,AZ,X2020.03.31,275891
Arizona,AZ,X2021.03.31,329496
Tennessee,TN,X2019.03.31,182329
Tennessee,TN,X2020.03.31,193081
Tennessee,TN,X2021.03.31,214708
Missouri,MO,X2019.03.31,161318
Missouri,MO,X2020.03.31,167621
Missouri,MO,X2021.03.31,185247
Maryland,MD,X2019.03.31,312792
Maryland,MD,X2020.03.31,317629
Maryland,MD,X2021.03.31,351766
Wisconsin,WI,X2019.03.31,188859
Wisconsin,WI,X2020.03.31,198584
Wisconsin,WI,X2021.03.31,219942
Minnesota,MN,X2019.03.31,254587
Minnesota,MN,X2020.03.31,265642
Minnesota,MN,X2021.03.31,289798
Colorado,CO,X2019.03.31,401434
Colorado,CO,X2020.03.31,413915
Colorado,CO,X2021.03.31,458015
Alabama,AL,X2019.03.31,141475
Alabama,AL,X2020.03.31,149248
Alabama,AL,X2021.03.31,163900
South Carolina,SC,X2019.03.31,187601
South Carolina,SC,X2020.03.31,194996
South Carolina,SC,X2021.03.31,213450
Louisiana,LA,X2019.03.31,169256
Louisiana,LA,X2020.03.31,173220
Louisiana,LA,X2021.03.31,181984
Kentucky,KY,X2019.03.31,143477
Kentucky,KY,X2020.03.31,150860
Kentucky,KY,X2021.03.31,163721
Oregon,OR,X2019.03.31,359978
Oregon,OR,X2020.03.31,372563
Oregon,OR,X2021.03.31,416263
Oklahoma,OK,X2019.03.31,127306
Oklahoma,OK,X2020.03.31,134014
Oklahoma,OK,X2021.03.31,144546
Connecticut,CT,X2019.03.31,258814
Connecticut,CT,X2020.03.31,262124
Connecticut,CT,X2021.03.31,300135
Iowa,IA,X2019.03.31,149615
Iowa,IA,X2020.03.31,153784
Iowa,IA,X2021.03.31,161514
Mississippi,MS,X2019.03.31,124103
Mississippi,MS,X2020.03.31,128723
Mississippi,MS,X2021.03.31,136596
Arkansas,AR,X2019.03.31,128371
Arkansas,AR,X2020.03.31,133251
Arkansas,AR,X2021.03.31,143910
Kansas,KS,X2019.03.31,151474
Kansas,KS,X2020.03.31,157454
Kansas,KS,X2021.03.31,172053
